name,time,CO2Concentration,Co2Concentration,deviceId,distance,environmentHumidity,environmentPressure,environmentTemperature,internalTemperature,nonContactWaterLevel,potentialOfHydrogen,totalDissolvedSolids,totalOrganicCompounds,waterFlow,waterTemperature
data_yaku,1629360783200000000,,-1,ESP32_473938,22,46.045,88425.719,23.64,53.333,0,6.312,1379.98,-1,0,21.188
data_yaku,1629360843848000000,,-1,ESP32_473938,22,45.983,88425.68,23.63,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360903482000000,,-1,ESP32_473938,22,45.943,88421.938,23.63,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629360963119000000,,-1,ESP32_473938,22,45.852,88420.484,23.62,43.889,0,6.334,1379.98,-1,0,21.188
data_yaku,1629361023761000000,,-1,ESP32_473938,22,45.802,88419.445,23.62,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629361083399000000,,-1,ESP32_473938,22,45.8,88415.312,23.61,45,0,6.312,1379.98,-1,0,21.188
data_yaku,1629361143049000000,,-1,ESP32_473938,22,45.841,88415.633,23.61,44.444,0,6.291,1379.98,-1,0,21.125
data_yaku,1629361203661000000,,-1,ESP32_473938,22,45.81,88414.938,23.61,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629361263311000000,,-1,ESP32_473938,22,45.759,88416.984,23.61,44.444,0,6.334,1379.98,-1,0,21.188
data_yaku,1629361323949000000,,-1,ESP32_473938,22,45.819,88419.656,23.6,53.333,0,6.312,1379.98,-1,0,21.25
data_yaku,1629361383572000000,,-1,ESP32_473938,22,45.84,88412.484,23.6,44.444,0,6.356,1379.98,-1,0,21.188
data_yaku,1629361443208000000,,-1,ESP32_473938,22,45.82,88419.391,23.61,53.333,0,6.291,1379.98,-1,0,21.188
data_yaku,1629361503842000000,,-1,ESP32_473938,22,45.759,88415.211,23.6,53.333,0,6.312,1379.98,-1,0,21.188
data_yaku,1629361563489000000,,-1,ESP32_473938,22,45.798,88424.031,23.59,44.444,0,6.291,1379.98,-1,0,21.125
data_yaku,1629361623106000000,,-1,ESP32_473938,22,45.728,88418.578,23.59,53.333,0,6.334,1379.98,-1,0,21.188
data_yaku,1629361683768000000,,-1,ESP32_473938,22,45.567,88419.297,23.6,44.444,0,6.334,1379.98,-1,0,21.188
data_yaku,1629361743399000000,,-1,ESP32_473938,22,45.525,88421.234,23.58,53.333,0,6.356,1379.98,-1,0,21.125
data_yaku,1629361803052000000,,-1,ESP32_473938,22,45.465,88423.281,23.58,53.333,0,6.334,1379.98,-1,0,21.188
